id;kolor;nazwa;opis;wymagania;komentarz
36;Zielony;Ogrodnik;Ogrodnik to zuch, który systematycznie i dokładnie opiekuje się roślinami w swoim otoczeniu (np. w domu, ogrodzie). ;"1. Hoduje (zasadził, przesadził, przyciął) dowolną roślinę w doniczce, na balkonie lub w ogrodzie. Zna jej potrzeby.
2. Wie, jak wykorzystać wyhodowane rośliny.
3. Umie rozpoznać rośliny rosnące w ogrodzie, używając różnych zmysłów.
4. Zna zarówno zwierzęta pożyteczne dla roślin, jak i szkodniki.
5. Uczestniczył w pracach ogrodniczych. Wie, jakich narzędzi może podczas nich Użyć. ";"Ogrodnik to zuch, który poznaje potrzeby różnych roślin, rozumie, dlaczego niektóre trzeba podlewać więcej, inne mniej, jedne potrzebują więcej słońca, inne mniej itp.
Ad 2 Np. przyrządził z nich prosty posiłek, zrobił bukiet. "
37;Zielony;Przyjaciel Lasu;Przyjaciel Lasu to zuch, który często odwiedza las, umie się w nim zachować, nie niszczy lasu, nie boi się w nim przebywać i chce poznawać jego tajemnice. ;"1. Często przebywa w lesie podczas spacerów i zabaw.
2. Zna i potrafi wskazać warstwy lasu oraz rozróżnia roślinność w nich występującą.
3. Znajduje ślady życia zwierząt ptaków i owadów w lesie.
4. Zbiera dary lasu, nie niszcząc przy tym przyrody. Potrafi je wykorzystać.
5. Zna niektóre gatunki grzybów. Wie, które z nich można zbierać, a które są trujące.
6. Chroni las.";"Warto poznawać las, korzystając z wiedzy ekspertów, organizować spotkania z leśniczym, wycieczki ścieżkami dydaktycznymi itp.
Ad 2 Warstwy lasu w znaczeniu najprostszym, czyli drzewa, krzewy, poszycie itp.
Ad 5 Należy bezwzględnie uczulić dzieci na niebezpieczeństwa związane ze zbieraniem grzybów w ogóle, a zwłaszcza tych nieznanych.
Ad 6 Np. wie, jak nie dopuścić do pożaru. "
38;Zielony;Przyjaciel Ptaków;Przyjaciel Ptaków to zuch, który interesuje się ptakami, pogłębia wiedzę na ich temat. ;"1. Rozpoznaje po wyglądzie kilka gatunków ptaków. Zna kilka informacji o każdym z nich.
1. Obserwował życie ptaków na wolności, nie zakłócając ich życia. 
2. Obserwował życie ptaka w niewoli i jego zachowanie względem ludzi. Dowiedział się, jak zadbać o jego potrzeby.
3. Znalazł kilka ptasich piór. Wie, do czego służą ptakom poszczególne ich rodzaje.
4. Zrobił karmnik dla ptaków. Systematycznie prowadził ptasią stołówkę dla zimujących ptaków lub w lecie/jesienią zgromadził ptasi pokarm. ";"Przyjaciel ptaków zachowuje ""ptasie tajemnice"", nie niszczy gniazd, potrafi wytłumaczyć innym ważność takich zachowań.
Ad 2 Np. odnalazł gniazdo, wypatrzył kilka ptaków, widział, jak zdobywają pokarm. "
39;Zielony;Przyjaciel Zwierząt;Przyjaciel Zwierząt to zuch, który troszczy się o zwierzę domowe i dostrzega jego potrzeby. ;"1. Jest przyjacielem zwierząt, nie pozwala ich krzywdzić.
2. Systematycznie opiekuje się zwierzęciem domowym. Wie, jak je karmić, pielęgnować, zapobiegać chorobom.
3. Pogłębia swoją wiedzę dotyczącą opieki nad zwierzęciem, np. pójdzie z nim do weterynarza albo zasięgnie porady u eksperta bądź przeczyta książkę.
4. Przedstawił gromadzie informacje na temat jednego gatunku zwierząt domowych. ";"Zuch nie musi opiekować się wyłącznie swoim zwierzęciem, może to być np. zwierzę ze schroniska. Czas realizacji sprawności zależy od indywidualnych możliwości zucha.
Ad 1 Warto rozszerzyć sposób realizacji tego zadania o formę sprawdzającą wiedzę zucha na temat pielęgnacji zwierząt. "
40;Zielony;Przyrodnik;Przyrodnik to zuch, który odkrywa przyrodę. Uczy się ją obserwować i dostrzegać jej piękno. ;"1. Poznaje piękno i tajemnice przyrody.
2. Odnalazł zwierzę w jego środowisku naturalnym.
3. Rozpoznał podstawowe gatunki roślin.
4. Szanuje przyrodę. Wie, jakie zachowania są szkodliwe dla środowiska
5. Umie posługiwać się przewodnikiem przyrodniczym.
6. Wie, po co są tworzone parki narodowe. Wskazał na mapie, co najmniej dwa z polskich parków narodowych i wymienił kilka gatunków roślin i zwierząt chronionych. ";"Ad 1 Np. wzrost roślin, bieg rzeki i inne zmiany zachodzące w przyrodzie. Podczas poznawania świata przyrody należy zwrócić dzieciom uwagę nie tylko na rośliny i ssaki, ale również owady. Dzieci potrafią być czasem wobec nich okrutne.
Ad 3 Np. kilka drzew, ziół i kwiatów.
Ad 5 Przewodnik przyrodniczy to pozycja popularnonaukowa zawierająca zdjęcia roślin i zwierząt z krótkimi opisami. "
41;Zielony;Rolnik;Rolnik to zuch, który poznał życie na wsi, podjął się prostych prac gospodarskich. ;"1. Podpatrzył dzień z życia gospodarstwa wiejskiego.
2. Poznał zwierzęta gospodarskie. Wie, jak się przy nich zachować. Pomógł w ich karmieniu i pielęgnacji.
3. Wykonał proste prace gospodarskie. 
4. Wie, jak się zachować w pobliżu maszyn rolniczych.
5. Rozpoznał po kłosach cztery zboża, wie, do czego są przydatne.
6. Poznał ludowe zwyczaje (przysłowia, przyśpiewki). ";"Warto tak zaplanować pracę gromady, żeby zuchy poznały życie w gospodarstwie wiejskim co najmniej podczas dwóch pór roku.
Ad 3 Np. pielenie, wybieranie kamieni, zgrabienie siana, pomoc przy żniwach. 
"
42;Zielony;Traper;Traper to zuch posiadający umiejętności puszczańskie i wyrabiający w sobie postawę Robinsona. Jest zaradny i umie poradzić sobie w lesie. ;"1. Pod okiem drużynowego, nie niszcząc przyrody, zrobił leśną budowlę, np. szałas.
2. Potrafi zamaskować siebie i swoją budowlę w lesie.
3. Rozpoznaje różne rodzaje drewna i potrafi je odpowiednio zastosować (łuk, rzeźba).
4. Zna techniki potrzebne traperowi. Potrafi posłużyć się potrzebnymi narzędziami pionierskimi.
5. Obserwował las w określonej porze dnia i opowiedział o swoich spostrzeżeniach innym zuchom. ";"Sprawność przeznaczona jest dla starszych zuchów, nie mogą one jednak w żadnym wypadku przebywać same w lesie, drużynowy/drużynowa musi również wyjaśnić zuchom, jakie korzyści przynosi obserwowanie lasu i jego mieszkańców.
Ad 4 Pod pojęciem technik należy rozumieć np. podstawowe węzły i znaki patrolowe. "
43;Zielony;Wędrowiec;Wędrowiec to zuch, który lubi wędrować i potrafi przygotować się do wyprawy. ;"1. Lubi wycieczki, był na kilku z nich bez względu na pogodę. Obserwuje otaczającą przyrodę.
2. Ma swój ekwipunek turystyczny. Wie, jak się ubrać zależnie od pogody, pory roku, wykonywanego zadania.
3. Potrafi spakować swój plecak. 
4. Wie, jak uniknąć przeziębienia, odparzenia, odmrożenia nóg. 
5. Umie rozpoznać szlak i bezpiecznie poruszać się po nim, wskaże miejsca odpoczynku. Uczy się korzystać z mapy (szkicu drogi). ";"Ad 2 Wędrowiec to zuch, który wie, jakich rzeczy nie można zapomnieć na plażę, w góry itp.
Ad 4 Starsze zuchy powinny poznać sposoby wyznaczania kierunków świata. "
44;Zielony;Wicherek;Wicherek to zuch, który potrafi obserwować pogodę.;"1. Zna obieg wody w przyrodzie. Za pomocą wykonanego przyrządu dokonał pomiaru świadczącego np. o zmianach ciśnienia.
2. Wie, skąd i dlaczego napływa ciepłe i zimne powietrze. Potrafi odczytać mapę pogody (w TV, w gazecie).
3. Zaobserwował, jak przy różnej pogodzie zachowuje się przyroda (dżdżownice, jaskółki, szyszki itp.).
4. Poznał ludowe sposoby przepowiadania pogody. ";"Trzeba pomóc zuchowi dostrzec korzyści, jakie wynikają z umiejętności obserwowania pogody - dzięki temu lepiej zrozumie zmiany zachodzące w przyrodzie.
Ad 2 Starsze zuchy można dodatkowo zainteresować rodzajami chmur.
Ad 4 Np. przysłowia, kolor chmur o zachodzie słońca. "
45;Zielony;Wiewiór;Wiewiór to zuch, który poznał przyrodę w swoim mieście. Interesuje się jego parkami i zamieszkującymi je zwierzętami. ;"1. Zna parki w swojej okolicy. Wie, jak do nich trafić i jak się w nich zachować.
2. Wie, jakie zwierzęta żyją w parku (gryzonie, owady, ptaki).
3. Wie, jakie drzewa rosną w wybranym parku. Zwraca uwagę na jego gniazda, dziuple, „schowki”.
4. Zatroszczył się o swój park. ";Ad 4 Np. posprzątanie, przygotowanie tabliczek informacyjnych, naprawienie ławki (to bardziej chłopcy), założenie karmnika 
46;Zielony;Zielarz;Zielarz to zuch, który zna i potrafi odnaleźć podstawowe rośliny lecznicze. Wie, jakie mają zastosowanie. ;"1. Odnalazł rośliny lecznicze i rozpoznał rośliny szkodliwe.
2. Zna i stosuje zasady prawidłowego zbierania ziół (szanując przyrodę).
3. Wie, jak ususzyć zioła (liść maliny, kwiat rumianku, babkę, kwiatostan czarnego bzu itp.).
4. Umie rozpoznawać zioła po zapachu, kolorze, smaku (wywar lub herbata).Wie, jakie mają działanie.";Sprawność bardzo trudna, która wymaga starannego przygotowania się drużynowego/drużynowej, np. w zakresie prawidłowego zbierania ziół. 
47;Zielony;Zimoludek;Zimoludek to zuch ciekawy zmian w przyrodzie zimą. ;"1. Zna kilka zabaw na śniegu.
2. Zrobił śnieżną budowlę. 
3. Umie zabezpieczyć się przed zimnem
4. Podpatrzył zimowe życie zwierząt
5. Pomaga zwierzętom i roślinom przetrwać zimę. ";"Ad 3 Oddycha przez nos, wysuszy buty itp.
Ad 4 Np. rozpoznaje ich tropy na śniegu, wie, jak przygotowały się do przetrwania zimy.
Ad 5 Np. sposoby ochrony roślin i zwierząt przed zimnem, dokarmianie. "
48;Zielony;Zoolog;Zoolog to zuch, który interesuje się zwierzętami, zna ich gatunki z różnych części świata. ;"1. Zna zwierzęta z różnych kontynentów i środowiska ich życia. 
2. Potrafi wymienić zwierzęta żyjące na lądzie, w wodzie, w powietrzu, w ziemi.
3. Obserwował życie zwierząt na wolności i w niewoli oraz ich zachowanie względem człowieka.
4. Rozróżnia tropy różnych zwierząt.
5. Rozpoznaje gatunki zwierząt. Zna nazwy samca i samicy kilku gatunków.
6. Wie, które zwierzęta są pod ochroną i w jaki sposób ludzie chronią gatunki zagrożone wyginięciem. ";"Ad 1 patrz BOTANIK
Ad 4 Jest to zadanie bardzo trudne. Na pewno już osiągnięciem będzie, gdy zuch rozpozna np. w lesie, czy konkretne ślady zostały pozostawione przez zwierzę leśne czy domowe."
49;niebieski;Cukiernik ;Cukiernik to zuch, który potrafi przyrządzić proste desery i inne słodkości oraz estetycznie je podać. ;"1. Upiekł ciasto lub ciasteczka.
2. Przygotował wg przepisu budyń, kisiel lub galaretkę.
3. Przyrządził prosty deser na zimno.
4. Pomógł w przygotowaniu wypieków lub wie, jakie stanowią tradycję świąteczną.
5. Zachowuje czystość podczas przygotowywania wypieków i deserów- estetycznie je podaje.
6. Potrafi udekorować stół na różne okazje.";
50;niebieski;Czyścioszek;Czyścioszek to zuch, który dba o higienę osobistą i porządek wokół siebie.;"1. Zna i stosuje zasady higieny.
2. Utrzymuje swoje rzeczy w czystości i porządku (np. pierze bieliznę osobistą, czyści buty, składa ubrania).
3. Starannie sprząta swój pokój (kącik) lub salę na kolonii.
4. Dba o powierzone mu rzeczy
5. Systematycznie pomaga w pracach domowych. ";
51;niebieski;Eskulap;Eskulap to zuch, który dba o zdrowie, potrafi zaradzić w drobnych wypadkach, umie wezwać lekarza. ;"1. Wie, jak zaradzić w przypadku skaleczenia, krwotoku z nosa, opuchlizny, oparzenia, ukąszenia przez owada- umie zachować się przy chorym.
2. Zna podstawowe leki i środki opatrunkowe, wie, jak należy je przechowywać.
3. Zna nazwy i zastosowanie podstawowych ziół leczniczych.
4. Umie wezwać pomoc lekarską, wie, gdzie jest najbliższa apteka i przychodnia, szpital.
5. Ubiera się zależnie od pory roku i sytuacji (np. wycieczka, zabawa w pomieszczeniu).
6. Stara się dzielnie znosić ból. ";Przy sprawności tej należy zwrócić uwagę, by zuchy same nie podawały żadnych lekarstw i wiedziały, że nie mogą ich same (bez wiedzy dorosłych) przyjmować. 
52;niebieski;Grosik;Grosik to zuch, który jest oszczędny, rozsądnie wydaje pieniądze. ;"1. Jest uczciwy i oszczędny, zawsze rozlicza się z powierzonych pieniędzy.
2. Umie liczyć w pamięci i na kalkulatorze.
3. Zna ceny podstawowych produktów, potrafi przewidzieć koszt zakupów na podstawie przygotowanej listy.
4. Umie zaoszczędzić pieniądze i wydać je w pożyteczny sposób.
5. Wie, jakich pieniędzy Używali nasi przodkowie i jakich Używa się w innych krajach. ";Ad 3. Warto zwrócić uwagę na ogólną świadomość cen, by zuchy wiedziały, ile kosztują artykuły spożywcze, a ile trzeba wydać na zabawki, ubrania itd. 
53;niebieski;Krawiec;Krawiec to zuch, który potrafi posługiwać się igłą i nitką, dokonać nieskomplikowanych napraw ubrania i uszyć prostą rzecz. ;"1. Ma swój zestaw krawiecki (igła i nitka, guziki, agrafki), potrafi się nimi posługiwać.
2. Nie marnuje resztek materiału – ze skrawków uszył coś pożytecznego, np. zabawkę, podarunek, element stroju.
3. Dba o mundur: przyszył guzik, sprawność, zaszył rozdarcie.
4. Jest staranny i dokładny podczas pracy.";
54;niebieski;Kuchcik;Kuchcik to zuch, który potrafi samodzielnie przygotować prosty posiłek, jest staranny i ostrożny podczas prac kuchennych. ;"1. Przygotował prosty posiłek, prawidłowo parzy herbatę, gotuje mleko, kakao.
2. Przyrządził surówki, sałatki i desery.
3. Pomaga w domu podczas pracy w kuchni.
4. Rozpoznał podstawowe przyprawy i produkty spożywcze po zapachu i smaku.
5. Umie posługiwać się książką kucharską, odnajdzie przepis na wybraną potrawę.
6. Zachowuje czystość podczas prac kuchennych – myje ręce przed i po pracy, pamięta o myciu warzyw i owoców. ";Istotne jest, aby zuch zdobywający tę sprawność potrafił odmierzyć lub odważyć potrzebne ilości produktów. Należy zwrócić uwagę na to, czy domowe warunki zucha pozwalają mu na realizację zadań. Warto też podejmować różne kulinarne przedsięwzięcia na zbiórkach. 
55;niebieski;Sobieradek;Sobieradek to zuch, który wyróżnia się zaradnością, potrafi coś naprawić i zbudować. ;"1. Skonstruował drobny przedmiot potrzebny w gromadzie lub jako podarunek dla innych.
2. Dokonał prostych napraw (przybił, wyczyścił, podkleił, przyszył itp.).
3. Utrzymuje w porządku swoje przybory do majsterkowania, po wykonanej pracy sprząta.
4. W czasie pracy zachowuje należytą staranność i ostrożność.";
56;niebieski;Wnuczek;Wnuczek to zuch, który opiekuje się osobami starszymi- szanuje je, chce się od nich czegoś nauczyć. ;"1. Zna dzieje swojej rodziny i historię rodzinnej pamiątki.
2. Odwiedza swoich dziadków, a jeśli nie jest to możliwe, pisze listy, dzwoni. Pamięta o ich świętach.
3. Dowie się, jak wyglądało dzieciństwo dziadków – życie domowe, zabawki itd.
4. Sprawił radość komuś starszemu 
5. Pomaga starszym w drobnych pracach domowych. ";"Sprawność ta przeznaczona jest również dla zuchów, które nie mają swoich dziadków (wówczas próbują w miarę możliwości odwiedzać ich groby oraz dotrzeć do innych osób starszych i od nich uczyć się mądrości życiowej).
Ad 4 Np. wykonał prezent, wziął udział w przedstawieniu. "
57;fioletowy;Aktor;Aktor to zuch, który odgrywa różnorodne role, chętnie bierze udział w przedstawieniach wystawianych przed publicznością. ;"1. Poprawnie wypowiada teksty aktorskie, modeluje głos w zależności od charakteru danej roli.
2. Wraz z gromadą przygotował przedstawienie, podczas którego, pokonując tremę, zaprezentował swoją rolę przed publicznością.
3. Za pomocą pantomimy przedstawił różne nastroje, uczucia, czynności.
4. Odgrywa różne role w teatrze samorodnym
5. Był w teatrze. Obserwując grę aktorów, wzbogaca swoje umiejętności sceniczne. ";Ad 4 Nie tylko role postaci, także zwierząt, przedmiotów. 
58;fioletowy;Charakteryzator;Charakteryzator to zuch, który potrafi zmienić wygląd osoby adekwatnie do roli, jaką ma ona odgrywać. ;"1. Przy pomocy farb do twarzy, kosmetyków, dodatkowych materiałów (peruka, sztuczne wąsy, broda) potrafi zmienić wygląd twarzy bądź ciała aktora. Usunął charakteryzację w bezpieczny sposób.
2. Rozróżnia części garderoby. Dobrał strój dla aktora.
3. Wie, jak ubierali się ludzie w różnych epokach, kulturach, regionach.
4. Przygotował dowolny dodatek stroju ";
59;fioletowy;Dekorator;Dekorator to zuch, który potrafi estetycznie ozdobić wnętrze.;"1. Zaprojektował dekorację wnętrza.
2. Wykonał element dekoracji. W swoich pracach wykorzystał różne materiały.
3. Umie pracować w grupie, liczy się ze zdaniem innych dekoratorów, słucha uwag.
4. Podczas prac zachowuje należytą ostrożność. ";Ad 2 Np. płótno, styropian, kartony, farby, dary przyrody itd. 
60;fioletowy;Delfin;Delfin to zuch, który potrafi się zachować w wodzie, umie pływać i zna kilka wodnych zabaw.;"1. Lubi pływać, przestrzega zasad kąpieli.
2. Przepłynął 15 m dowolnym stylem. 
3. Chętnie bierze udział w zabawach i grach wodnych, przestrzega zasad
4. Umie się ochronić przed ostrym słońcem, zna i stosuje zasady bezpiecznego przebywania na słońcu. ";Trzeba bezwzględnie przestrzegać zasad bezpieczeństwa podczas realizowania poszczególnych zadań. 
61;fioletowy;Fotograf;Fotograf to zuch, który utrwala otoczenie na zdjęciach, poznaje tajniki fotografowania. ;"1. Utrwalił na zdjęciu ciekawy moment z życia gromady. Przekazał zdjęcie do kroniki.
2. Wykonał różne rodzaje zdjęć.
3. Uporządkował zrobione zdjęcia.
4. Zaprezentował swoje prace.
5. Zna podstawowe zasady fotografowania
6. Zapoznał się z pracami profesjonalnego fotografa. ";"Ad 2 Np. przyrodnicze, portret, krajobraz, zdjęcie w ruchu, zbliżenie.
Ad 3 W zależności od nośnika: włożył do albumu, opisał, stworzył katalog w komputerze.
Ad 4 W formie wystawy, pokazu multimedialnego itd.
Ad 5 Takimi jak Użycie zoomu, lampy błyskowej, wykorzystanie prawidłowego oświetlenia.
Ad 6 Warto odwiedzić studio fotograficzne, ale zadanie to może być wykonane także poprzez obejrzenie wystawy, albumu. "
62;fioletowy;Gimnastyk;Gimnastyk to zuch, który lubi się gimnastykować. Jest zwinny, chętnie bierze udział w ćwiczeniach i potrafi się do nich przygotować. ;"1. Lubi się gimnastykować, jest sprawny, przestrzega zasad bezpieczeństwa.
2. Wykonał ćwiczenia gimnastyczne
3. Jest zwinny, skacze, wspina się po drzewach, drabinie.
4. Wykonał przybory do gier i ćwiczeń. ";"Trzeba bezwzględnie przestrzegać zasad bezpieczeństwa podczas realizowania poszczególnych zadań.
Ad 4 Np. woreczki, skakankę, tarczę do rzucania. "
63;fioletowy;Kronikarz;Kronikarz to zuch, który uważnie obserwuje otoczenie i spisuje swoje spostrzeżenia w sposób zrozumiały, ciekawy i estetyczny. ;"1. Opisał starannie i poprawnie kilka dni (zbiórek) w kronice. W swoim wpisie starał się jak najwierniej odtworzyć historię, wydarzenie.
2. Ozdobił wpisy rysunkami
3. Umieścił w kronice zdjęcia lub inne pamiątki ilustrujące opisane zdarzenie.
4. Wykorzystał różne rodzaje pisma.
5. Starannie prowadzi zeszyty, nie robi błędów ortograficznych.
6. Przeczytał opis wydarzenia umieszczonego w gazecie dziecięcej, kronice, książce. ";Ad 5 Niektóre dzieci mogą mieć kłopoty z ortografią z powodu skłonności do dysleksji. Należy wtedy formułować to zadanie ze szczególnym wyczuciem sytuacji. 
64;fioletowy;Kukiełkarz;Kukiełkarz to zuch, który lubi teatr lalek. Bierze udział w przedstawieniach, podczas których ożywia lalki, podkłada swój głos. ;"1. Rozróżnia rodzaje lalek. Wie, jak porusza się każdą z nich.
2. Przygotował przedstawienie i wystąpił w nim, ożywiając lalki głosem i ruchami.
3. Wykonał kukiełkę z niestandardowych materiałów.
4. Wykorzystał wykonane przez siebie kukiełki do odegrania krótkich scenek. ";Ad 3 Np. rękawiczek, warzyw itd. 
65;fioletowy;Malarz;Malarz to zuch, który maluje różne typy obrazów, rozróżnia i staranie dobiera do nich barwy oraz ogląda prace innych artystów. ;"1. Maluje na podstawie wzoru, z natury oraz według własnego pomysłu.
2. Wie, jak z trzech podstawowych barw otrzymać inne.
3. Wykonał pracę malarską potrzebną w gromadzie.
4. Poznał nową technikę malarską.
5. Po wykonanej pracy pozostawia miejsce w czystości, myje i suszy pędzle, porządkuje farby, odkłada wszystko na swoje miejsce.
6. Oglądał prace malarzy. Zna obrazy wybranego malarza polskiego. ";Ad 6 Warto tak zaplanować pracę, by zuch zobaczył wystawę wybranego malarza, ale zadanie może być zrealizowane również z wykorzystaniem reprodukcji. 
66;fioletowy;Mistrz Gier i Zabaw;Mistrz Gier i Zabaw to zuch, który chętnie bierze udział w różnych grach i zabawach, zachęcając do tego innych. ;"1. Zna różne rodzaje gier.
2. Przestrzega zasAd fair play. 
3. Wcielił się w rolę sędziego.
4. Nigdy się nie nudzi. Nauczył innych gry, zabawy. 
5. Wykonał do zabawy potrzebny rekwizyt lub wykorzystał przedmiot codziennego użytku. ";"Ad 1 Sprawność zakłada znajomość gier zespołowych, planszowych, strategicznych, ruchowych i innych.
Ad 2 W szczególności: umie przegrywać, nie obnosi się ze zwycięstwem, potrafi dopingować inne zuchy.
Ad 3 Postać sędziego może pojawić się nie tylko w grach, które z założenia zakładają jego obecność. Zuch - sędzia może obserwować przebieg każdej gry, reagować, kiedy zasady zostają naruszone. "
67;fioletowy;Mistrz Kółek;Mistrz Kółek to zuch, który jeździ na rolkach, wrotkach, rowerze, hulajnodze lub innym sprzęcie jeżdżącym, zna przepisy ruchu drogowego i przestrzega zasad bezpieczeństwa. ;"1. Jeździ na rowerze, wrotkach, rolkach, hulajnodze itp., wykonał slalom i ósemkę, pokonał tor przeszkód.
2. Zna i przestrzega przepisy ruchu drogowego.
3. Jest mistrzem kółek – pokazał kilka sztuczek, zachowując należytą ostrożność.
4. Dba o sprzęt sportowy, potrafi dokona jego prostych napraw. ";
68;fioletowy;Muzyk;Muzyk to zuch, który gra na instrumencie i interesuje się muzyką;"1. Zagrał melodię na wybranym instrumencie
2. Zaakompaniował gromadzie na instrumencie.
3. Zna nazwy i wartości nut, podstawowe znaki muzyczne.
4. Zna kilku kompozytorów (polskich i zagranicznych), i co najmniej jeden utwór każdego z nich.
5. Oglądał pracę muzyków, był na koncercie. 
6. Rozróżnia kilka rodzajów muzyki. ";"Ad 2 Młodsze zuchy mogą grać na instrumentach perkusyjnych np. bęben, kastaniety, talerze, werbel, trójkąt, dzwonki.
Ad 5 Koncert, zależnie od możliwości, może być w wykonaniu profesjonalnych muzyków, ale także amatorów (np. harcerzy z bratniej drużyny). “Oglądanie pracy muzyków” to nic innego, jak obserwowanie, jak orkiestra przygotowuje się do koncertu, stroi instrumenty itp. "
69;fioletowy;Olimpijczyk;Olimpijczyk to zuch, który interesuje się olimpiadami sportowymi, chętnie uczestniczy w grach i ćwiczeniach, chce poprawiać swoje osiągnięcia sportowe.;"1. Zna ideę olimpiad sportowych.
2. Zna kilka dyscyplin olimpiady zimowej i letniej, spróbował swoich sił w jednej z nich.
3. Zna symbole olimpijskie oraz podstawowe wydarzenia z historii olimpiad
4. Zna postać Polaka – olimpijczyka
5. Poprawił swój wynik w wybranej dziedzinie sportu.
6. Zaproponował jedną konkurencję podczas zawodów w gromadzie. Jasno przedstawił jej zasady.
7. Jest sprawiedliwy i uczciwy, zawsze przestrzega ustalonych zasad ";
70;fioletowy;Piłkarz;Piłkarz to zuch, który lubi piłkę nożną, umie wykonać podstawowe zagrania i uczestniczył w meczu piłkarskim.;"1. Zna przepisy gry w piłkę nożną, zawsze postępuje zgodnie z nimi, zagrał na różnych pozycjach.
2. Prowadzi piłkę prawą i lewą nogą, potrafi ją podbić, zatrzymać, wybić z rogu czy rzucić z autu.
3. Przeprowadził rozgrzewkę. Rzucając lub strzelając, trafia do celu z różnych odległości, podaje piłkę.
4. Zorganizował rozgrywki z piłką dla dzieci lub uczestniczył w meczu pomiędzy drużynami. ";
71;fioletowy;Plastyk;Plastyk to zuch, który ma wiele pomysłów plastycznych i potrafi je zrealizować. Z pozornie niepotrzebnych rzeczy umie zrobić coś pożytecznego, estetycznego.;"1. Umie kreatywnie wykorzystać przedmioty codziennego użytku do tworzenia konstrukcji potrzebnych w zabawie.
2. Potrafi stworzyć prace różnymi technikami.
3. Wykonał drobiazgi z oryginalnych materiałów.
4. Wykonał pracę, używając pisma ozdobnego.
5. Zaprezentował swoje prace. Umie przyjąć krytykę.
6. Pomógł innemu zuchowi w zrobieniu elementu ozdobnego. ";"Ad 1 Np. wieża z krzeseł, rakieta z kartonów.
Ad 3 Np. łupiny od orzecha, serwetki papierowe, klamerki do prania. "
72;fioletowy;Rzeźbiarz;Rzeźbiarz to zuch, który tworzy trójwymiarowe dzieła, poznaje rzeźby innych artystów. ;"1. Wykonał rzeźbę własnego projektu
2. Zna zasady proporcji (prawidłowo odwzorowuje rzeczywistość)- potrafi stworzyć projekt wg tych zasad
3. Używa różnych materiałów i tworzy swoje dzieła różnymi technikami.
4. Dba o miejsce pracy i przybory, po pracy- sprząta.
5. Zna kilka rzeźb sławnych twórców. ";Ad 3. Materiały to np. modelina, gips, glina, masa papierowa, masa solna, plastelina, kora, drewno. 
73;fioletowy;Sportowa;Sportowa to zuch, który regularnie trenuje wybraną dziedzinę sportu i stara się być w niej coraz lepszy. ;"1. Trenuje wybraną dyscyplinę sportową. Doskonali się w niej. Zawsze dba o odpowiednią rozgrzewkę.
2. Zna i potrafi zastosować różne techniki związane z daną dziedziną sportową.
3. Zna historię wybranej dziedziny sportu (ciekawe wydarzenia, postaci).
4. Nauczył inne zuchy podstaw danej dyscypliny lub zaprezentował swoje umiejętności.
5. Zna zasady obowiązujące w tej dyscyplinie, zawsze ich przestrzega. Wie, jaki jest wymagany strój i sprzęt.";Nazwa sprawności jest zmieniana w zależności od uprawianej przez zucha dyscypliny – np. narciarz, koszykarz. 
74;fioletowy;Strażnik Skarbca;Strażnik Skarbca to zuch, który dba w sposób szczególny o rzeczy należące do gromady. ;"1. Dopilnował, by na rajd, wycieczkę, zwiad został zabrany totem (bądź inny symbol) gromady- opiekował się nim podczas zbiórki.
2. Zapamiętał, co i gdzie znajduje się w skarbcu gromady. Zatroszczył się, by po wykonanej pracy wszystkie wykorzystywane rzeczy trafiły na swoje miejsce.
3. Podczas majsterki wykorzystał odpowiednią ilość materiałów.
4. Zna historię bądź znaczenie przynajmniej jednego z obrzędowych elementów znajdujących się w skarbcu. ";Przez „zuchowy skarbiec” rozumiemy zarówno miejsce, w którym zgromadzone są elementy obrzędowe gromady, jak i dobro wspólne gromady. 
75;fioletowy;Śpiewak;Śpiewak to zuch, który lubi śpiewać, pląsać i zachęca do tego innych.;"1. Śpiewa piosenki i pląsa przy różnych okazjach.
2. Potrafi zaśpiewać kilka pieśni ludowych, patriotycznych, turystycznych, zuchowych itp.
3. Nauczył zuchy nowej piosenki
4. Nie wstydzi się śpiewać przed publicznością.";
76;fioletowy;Tancerz;Tancerz to zuch, który lubi tańczyć i zachęca do tego innych. ;"1. Zna kroki kilku tańców towarzyskich i jednego ludowego.
2. Wymyślił ukłAd taneczny do wybranej piosenki lub melodii.
3. Nauczył inne dzieci podstawowych kroków lub ruchów dowolnego tańca.
4. Bez przygotowania kroków zatańczył do usłyszanej melodii. ";
